reggelizik vmit ,i ,"reggelizni, reggelizett,",iets ontbijten ,5
Szendvicset reggelizem. ,,regelizz ,Ik eet sandwich als ontbijt. ,
rendel vmit ,i ,"~ni, ~t, ~j ",iets bestellen ,5
Pizzát szeretnék rendelni. ,,,Ik wil graag een pizza bestellen. ,
rétes ,fn ,"~ek, ~t, ~e ",een soort strudel ,5
Meggyes rétest kérek. ,,,Eén morrelenstrudel aub. ,
rizs ,fn ,"~ek, ~t, ~e ",rijst ,5
rosé ,fn ,"~k, ~t, ~ja ",rosé ,5
rózsaszín(ű) ,mn ,"~bb, ~en ",roze ,5
rövid ,mn ,"~ebb, ~en ",kort ,5
rövid szoknya ,,,een korte rok ,
rövid párbeszéd ,,,een kort gesprek ,
rövidital ,fn ,"~ok, ~t, ~a ","gedistilleerd, alcoholica ",5
ruhadarab ,fn ,"~ok, ~ot, ~ja ",kledingstuk ,5
sajt ,fn ,"~ok, ~ot, ~ja ",kaas ,5
Fél kiló sajtot kérek. ,,,"Een halve kilo kaas, alstublieft. ",
sál ,fn ,"~ak, ~at, ~a ",sjaal ,5
salátabár ,fn ,"~ok, ~ot, ~ja ",saladebar ,5
sapka ,fn ,"~’k, ~’t, ~’ja ",muts ,5
sárga ,mn ,"~'bb, ~'n ",geel ,5
sárgabarack ,fn ,"~ok, ~ot, ~ja ",abrikoos ,5
sárgarépa ,fn ,"~’k, ~’t, ~’ja ",peen ,5
savanyú ,mn ,"~bb, ~an ",zuur ,5
savanyúság ,fn ,"~ok, ~ot, ~a ",ingelegde groente ,5
"© Szita Szilvia és Pelcz Katalin, www.magyar-ok.hu Holland fordítás: Magdolna Verschoor ",,,,12
,,,MagyarOK 1.: szólista az 5. fejezethez / Woordenlijst Hoofdstuk 5 ,
sertéshús ,fn ,"~ok, ~t, ~a ",varkensvlees ,5
só ,fn ,"~k, ~t, ~ja ",zout ,5
sós ,mn ,"~abb, ~an ",zoutig ,7
A leves túl sós. ,,,De soep is te zout. ,
sokszor ,e ,,vaak ,5
A magyar ételek sokszor túl,,,De Hongaarse gerechten zijn vaak te kruidig. ,
fűszeresek. ,,,,
sonka ,fn ,"~’k, ~’t, ~’ja ",ham ,5
sótartó ,fn ,"~k, ~t, ~ja ",zoutstrooier ,5
sótlan ,mn ,"~abb, ~ul ",flauw ,5
sötétkék ,mn ,"~ebb, ~en ",donker blauw ,5
spagetti ,fn ,"~k, ~t, ~je ",spaghetti ,5
specialitás ,fn ,"~ok, ~t, ~a ",specialiteit ,5
Mi az országod specialitása? ,,,Wat is de specialiteit van jouw land? ,
statisztika ,fn ,"~’k, ~’t, ~’ja ",statistiek ,5
stb. (= satöbbi) ,e ,,enz. (=enzovoort) ,5
sült ,e ,,gebraden ,5
sült csirke ,,,gebraden kip ,
süt vmit ,i ,"~ni, ~ött, süss ",iets bakken ,5
Kenyeret sütök. ,,,Ik ben brood aan het bakken. ,
Húst sütök. ,,,Ik ben vlees aan het braden. ,
sütemény (= süti) ,fn ,"~ek, ~t, ~e ",gebak(je) ,5
szállít ,i ,"~ani, ~ott, szállíts ",bezorgen ,5
Házhoz is szállítunk. ,,,We bezorgen ook aan huis. ,
szalonna ,fn ,"~’k, ~’t, ~’ja ",spek ,5
szalvéta ,fn ,"~’k, ~’t, ~’ja ",servet ,5
számla ,fn ,"~’k, ~’t, ~’ja ",rekening ,5
"A számlát, legyen szíves. ",,,"De rekening, alstublieft. ",
száraz ,mn ,"~abb, ~an ",droog ,5
száraz kenyér ,,,droog brood ,
"© Szita Szilvia és Pelcz Katalin, www.magyar-ok.hu Holland fordítás: Magdolna Verschoor ",,,,13
,,,MagyarOK 1.: szólista az 5. fejezethez / Woordenlijst Hoofdstuk 5 ,
száraz vörösbor ,,,droge rode wijn ,
szatyor ,fn ,"szatyrok, szatyrot, szatyra ",plastic tasje ,5
Kér egy szatyrot? ,,,Wilt u een tasje? ,
szelet ,fn ,"~ek, ~et, ~e ","stuk, snee ",5
egy szelet kenyér ,,,één snee brood. ,
egy szelet torta ,,,één stuk taart. ,
szendvics ,fn ,"~ek, ~et, ~e ",sandwich ,5
szendvicsbár ,fn ,"~ok, ~ot, ~ja ",sandwichbar ,5
szénsavas ,mn ,"~abb, ~an ",koolzuurhoudend ,5
szénsavas ásványvíz ,,,koolzuurhoudend mineraalwater ,
szénsavmentes ,mn ,"~ebb, ~en ",koolzuurvrij ,5
szénsavmentes ásványvíz ,,,koolzuurvrije mineraalwater ,
szilva ,fn ,"~’k, ~’t, ~’ja ",pruim ,5
szokás ,fn ,"~ok, ~t, ~a ",gewoonte ,5
étkezési szokások ,,,eetgewoonten ,
